artist_name,track_name,release_date,genre,lyrics
Doc Watson,Deep River Blues,1964,folk,"Let it rain, let it pour Let it rain, a whole lot more 'Cause I got them deep river blues Let the rain drive right on Let the wave sweep along 'Cause I got them deep river blues My old girl is a good old pal And she looks like a waterfowl When I get them deep river blues There ain't no one to cry for me And the fish all go out on a spree When I get them deep river blues Give me back my old boat I'm gonna sail if she'll float 'Cause I got them deep river blues I'm goin' back to Muscle Shoals Times are better there I'm told 'Cause I got them deep river blues Let it rain, let it pour And let it rain a whole lot more 'Cause I got them deep river blues Let the rain drive right on Let the wave sweep along 'Cause I got them deep river blues If my boat sinks with me I'll go down, don't you see? 'Cause I got them deep river blues Now I'm gonna say goodbye And if I sink, just let me die 'Cause I got them deep river blues Let it rain, let it pour Let it rain a whole lot more 'Cause I got them deep river blues Let the rain drive right on Let the wave sweep along 'Cause I got them deep river blues"
Jackson C. Frank,Blues Run the Game,1965,folk,"Catch a boat to England, baby Maybe to Spain Wherever I have gone Wherever I've been and gone Wherever I have gone The blues are all the same Send out for whisky, baby Send out for gin Me and room service, honey Me and room service, babe Me and room service Well, we're"
Nick Drake,Pink Moon,1972,folk,"Saw it written and I saw it say Pink moon is on its way And none of you stand so tall Pink moon gonna get ye all And it's a pink moon Hey, it's a pink moon Pink, pink, pink, pink, pink moon Pink, pink, pink, pink, pink moon I saw it written and I saw it say A pink moon is on its way And none of you stand so tall Pink moon gonna get ye all It's a pink moon Yeah, it's a pink moon"
Cat Stevens,Wild World,1970,folk,"Now that I've lost everything to you you say you wanna start something new and it's breakin' my heart you're leavin' baby, I'm grievin' but if you wanna leave take good care 1  hope you have a lot of nice things to wear but then a lot of nice things turn bad out there oh baby baby it's a wild world it's hard to get by just upon a smile 2  oh baby baby it's a wild world I'll always remember you like a child girl you know I've seen a lot of what the world can do and it's breakin' 3  my heart in two 'cause I never want to see you sad girl don't be a bad girl but if you wanna leave take good care hope you make a lot of nice friends 4  out there but just remember there's a lot of bad and beware beware oh baby baby it's a wild world 5  it's hard to get by just upon a smile oh baby baby it's a wild world and I'll always remember you like a child girl baby I love you but if you wanna leave take good care hope 6  you make a lot of nice friends out there but just remember there's a lot of bad and beware beware 7  oh baby baby it's a wild world it's hard to get by just upon a smile oh baby baby it's a wild world and I'll always remember you like a child 8  girl"
Steve Goodman,City of New Orleans,1971,folk,"Riding on the City of New Orleans, Illinois Central Monday morning rail, fifteen cars and fifteen restless riders, three conductors and twenty-five sacks of mail. All along the southbound odyssey the train pulls out at Kankakee, rolls along past houses, farms, and fields. Passing 1  towns that have no name, freight yards full of old black men, and 2  a graveyard of rusted automobiles. Good morning, America, how are you? Say, don't you know me? I'm your native son. I'm the train they call the City of New Orleans, and I'll be gone five hundred miles when the day is done"
Gordon Lightfoot,Early Morning Rain,1966,folk,"In the early morning rain, with a lifetime on my mind. Couldn't find a better way to leave the woman behind. Couldn't find a better way to leave the woman behind. On a downtown bound train, loaded up with pain. Leaving Louisiana, heading for the coast. Wide awake and cold, listening to the stories told. Seems the same old song, a long way from home. In the early morning rain, with a lifetime on my mind. Never thought she'd leave me, never thought she'd leave me behind. Never thought she'd leave me, never thought she'd leave me behind. Train whistle blows, a sad and lonely sound. I'm a hundred miles away from home, and I'm downtown bound. Wide awake and cold, listening to the stories told. Seems the same old song, a long way from home. In the early morning rain, with a lifetime on my mind. Never thought she'd leave me, never thought she'd leave me behind. Never thought she'd leave me, never thought she'd leave me behind."
Leonard Cohen,Suzanne,1967,folk,"Suzanne takes you down to her place near the river, you can hear the boats go by, you can spend the night beside her. And you know that she's half crazy but that's why you want to be there and she feeds you tea and oranges that come all the way from China. And just when you mean to tell her that you have no love to give her, 1  she gets you on her wavelength and she lets the river answer that you've always been her lover. And you want to travel with her, and you want to travel blind, and you know that she will trust you for you've touched her perfect body with your mind. 2  And Jesus was a sailor when he walked upon the water and he spent a long time watching from his lonely wooden tower. And when he knew for certain only drowning men could see him he said All men will be sailors then until the sea shall free them. But he himself was broken long before the sky would open, forsaken, almost human, he sank beneath your wisdom like a stone. 3  And you want to travel with him, and you want to travel blind, and you know that he will trust you for you've touched his perfect body with your mind. 4  Suzanne takes you down to her place near the river and she is wearing rags and feathers from Salvation Army counters. And the sun pours down like honey on our lady of the harbor and she shows you where to look among the garbage and the flowers. 5  There are heroes in the seaweed there are children in the morning they are leaning out for love and they will lean that way forever. 6  While Suzanne holds your hand and you want to travel with her and you want to travel blind and you know that she will trust you for you've touched her perfect body with your mind"
Ian & Sylvia,Four Strong Winds,1963,folk,"Four strong winds that blow lonely, seven lonely days and nights. Four strong winds that blow lonely, seven lonely days and nights. You were on my mind, you were on my mind. You were on my mind, you were on my mind. If I get there before you do, I'll look for you in the early morning sun. If I get there before you do, I'll look for you in the early morning sun. And if I don't see you when I come, I'll sit and wait for you till the evening comes. And if I don't see you when I come, I'll sit and wait for you till the evening comes. Four strong winds that blow lonely, seven lonely days and nights. Four strong winds that blow lonely, seven lonely days and nights. You were on my mind, you were on my mind. You were on my mind, you were on my mind."
Tom Paxton,The Last Thing on My Mind,1964,folk,"Yesterday is dead and gone and tomorrow's out of sight. And it's sad to be alone but it's not the hardest thing in life. What I want is what I've not got but what I need is all around. What I want is what I've not got but what I need is all around. So I'll take my time and I'll take a train. I'll take a plane and I'll take a boat. I'll take a bus and I'll take a car. I'll take a horse and I'll take a goat. What I want is what I've not got but what I need is all around. What I want is what I've not got but what I need is all around. So I'll take my time and I'll take a train. I'll take a plane and I'll take a boat. I'll take a bus and I'll take a car. I'll take a horse and I'll take a goat. What I want is what I've not got but what I need is all around. What I want is what I've not got but what I need is all around."
The Kingston Trio,Where Have All the Flowers Gone,1961,folk,"Where have all the flowers gone, long time passing? Where have all the flowers gone, long time ago? Where have all the flowers gone, young girls picked them everyone. 1  Oh, when will they ever learn? Oh, when will they ever learn? Where have all the young girls gone, long time passing? Where have all the young girls gone, long 2  time ago? Where have all the young girls gone, 3  they've taken husbands everyone. Oh, when will they ever learn? Oh, when will they ever learn? Where have all the husbands gone, long time passing? Where have all the husbands gone, long time ago? Where have all the 4  husbands gone, they've gone to soldiers everyone. Oh, when will they ever learn? Oh, when will they ever learn? Where have all the soldiers gone, long time passing? Where have all the soldiers gone, long time 5  ago? Where have all the soldiers gone, 6  they're all in graveyards everyone. Oh, when will they ever learn? Oh, when will they ever learn? Where have all the graveyards gone, long time passing? Where have all the graveyards gone, long 7  time ago? Where have all the graveyards gone, they're covered with flowers 8  everyone. Oh, when will they ever learn? Oh, when will they ever learn?"
Joan Baez,Diamonds & Rust,1975,folk,"Now the years are rolling by me They are rockin' evenly I can see you clear as day Though you've been away so long I can't do more than say Hello, stranger, it's been a while And I've seen a lot of changes In the way we've rearranged it I can see you clear as day Though you've been away so long I can't do more than say Hello, stranger, it's been a while And the years have rolled around me Like a blanket of the sea I can see you clear as day Though you've been away so long I can't do more than say Hello, stranger, it's been a while"
Odetta,Midnight Special,1956,folk,"Well, you wake up in the morning, hear the ding dong ring Ya go marching to the table, ya see the same old things All on one table, knife, a fork and a pan And it ya say a thing about it, you're in trouble with the man Oh, let the Midnight Special shine her light on me Let the Midnight Special shine her ever loving light on me Oh, if you ever go to Houston, ya better walk right Ya better not stagger, you'd better not fight Sheriff he'll arrest you, he'll carry ya down And if the jury finds ya guilty, you're penitentiary bound Oh, let the Midnight Special shine her light on me Let the Midnight Special shine her ever loving light on me O yonder comes Miss Rosie! How in the world do ya know? Well, I knowed her by her apron and the dress she wore Umbrella on her shoulder, a piece of paper in her hand She goes a walking to the captain, said, Turn loose my man Oh, let the Midnight Special shine her light on me Let the Midnight Special shine her ever loving light on me"
Buffy Sainte-Marie,Universal Soldier,1964,folk,"Though many years have come and gone, his song will still live on. The story of a brave young man is known to all. And his name was called the universal soldier. And his name was called the universal soldier. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he'd never seen a gun before. And he was just seventeen, when he went off to war. And he'd never seen a gun before, he'd never seen a gun before. And he was just"
Arlo Guthrie,Alice's Restaurant Massacree,1967,folk,"You can get anything you want at Alice's Restaurant, Alice's Restaurant, you can get anything you want at Alice's Restaurant. Walk right in it's around the back, just a half a mile from 1  the railroad track. You can get anything you want at Alice's Restaurant. Now 2  folks, if you want to join our parade."
Fairport Convention,Matty Groves,1969,folk,"A holiday, a holiday, the first of May I went down to Stanesfield to see the garland gay When who should I espy there but my own wedded lord Sitting drinking wine with another man's whore How could you leave me, how could you slight me To sit drinking wine with another man's lady? He said, Hold your tongue, woman, and talk not so wild For I mean to lie with her, and that's no child If you mean to lie with her, and that's your intent Then you'll never lie with me again, until your dying day is spent She walked and she walked till she came to his bower And she called unto his men so loud Is your lord within? she said, or may I come in? They said, Our lord's within, but he's in bed with a woman How could you leave me, how could you slight me To sit drinking wine with another man's lady? He said, Hold your tongue, woman, and talk not so wild For I mean to lie with her, and that's no child If you mean to lie with her, and that's your intent Then you'll never lie with me again, until your dying day is spent She walked and she walked till she came to his bower And she called unto his men so loud Is your lord within? she said, or may I come in? They said, Our lord's within, but he's in bed with a woman She tripped up the stairs and the doors she did break And who should she find but Matty Groves lying fast asleep And her own wedded lord standing close by his side And a bright shining sword that was bloody to the hilt How do you like my bed? she said, how do you like my sheets? And how do you like the fair pretty girl that lies in your arms asleep? It is well, it is well, Matty Groves he did say Though I'd gladly fight with thee, if I only had the day Get up, get up, Matty Groves, she said, and put on your clothes For it never shall be said that I killed a naked man He put on his clothes and he came downstairs And he fought with her lord for three hours and more But Matty Groves was a brave young man, and a squire of renown And he fought with her lord till the blood did run down But her lord was a treacherous knave, and a cowardly hound And he watched for his chance, and he wounded Matty Groves Oh rise you up, Matty Groves, she said, and take your death wound free For it's better I should have one kiss from your lips than you should have twenty from me Oh rise you up, Matty Groves, she said, and take your death wound free For it's better I should have one kiss from your lips than you should have twenty from me She picked him up in her arms, and she carried him to the stable door And as the blood ran down, she cried, Matty Groves, no more She picked him up in her arms, and she carried him to the stable door And as the blood ran down, she cried, Matty Groves, no more"
Sandy Denny,Who Knows Where the Time Goes,1967,folk,"Across the evening sky, all the birds are leaving But how can they know it's time for them to go? Before the winter fire, I shall still be dreaming I do not count the time For who knows where the time goes? Who knows where the time goes? Sad deserted shore, your fickle friends are leaving Oh, but then you know it's time for them to go But I shall still be here, I have no thought of leaving I have no thought of time For who knows where the time goes? Who knows where the time goes? And I am not alone while my love is near me And I know it shall be so until it's time to go So come the storms of winter and then the birds in spring again I do not fear the time For who knows how my love grows? And who knows where the time goes?"
Richard Thompson,Beeswing,1994,folk,"Well I was 21 years when I met a girl And she was just 16 Though the going got tough she was plenty rough She never treated me mean She was a rare thing, fine as a beeswing So fragile in the light And when I moved too fast she would hold me fast Like a moth in the pale moonlight We would laugh and talk and take our walks Beneath the pale moonlight And though I knew right well she was young and frail She never did treat me unkind She was a rare thing, fine as a beeswing So fragile in the light And when I moved too fast she would hold me fast Like a moth in the pale moonlight Oh the years flew by like a bird in the sky The summer days and the autumn eves And the frost it came and the ground grew hard And still we never would grieve She was a rare thing, fine as a beeswing So fragile in the light And when I moved too fast she would hold me fast Like a moth in the pale moonlight Well the winter it came and it rattled the panes And the wind it blew up a storm And she wrapped herself up in her shawl one day And left me alone and forlorn She was a rare thing, fine as a beeswing So fragile in the light And when I moved too fast she would hold me fast Like a moth in the pale moonlight So I would while away the hours and watch the flowers As they bloomed and died with the turning year And I would think of her beauty and how she could flutter And then she'd be gone, she'd disappear She was a rare thing, fine as a beeswing So fragile in the light And when I moved too fast she would hold me fast Like a moth in the pale moonlight"
John Prine,Angel from Montgomery,1971,folk,"I am an old woman named after my motherMy old man is another child that's grown oldIf dreams were lightning thunder'd past my window last nightLord I'd find us both gone in the morningWell, the years flow by like a broken down damLeaves on a river just passing throughI was once a young girl with my heart on fireAnd I stood right beside youWell, the years flow by like a broken down damLeaves on a river just passing throughI was once a young girl with my heart on fireAnd I stood right beside youHow the hell did I get here so fast?How the hell did I get here so fast?Long ago the feeling that I'm too old to have feelingsBut what the hell there's bound to be somebody for meYou know I had a dream about a trainWent so fast it frightened meCan't you see that it's all come trueAnd the years flow by like a broken down damLeaves on a river just passing throughI was once a young girl with my heart on fireAnd I stood right beside youHow the hell did I get here so fast?How the hell did I get here so fast?If dreams were lightning thunder'd past my window last nightLord I'd find us both gone in the morning"
Kris Kristofferson,Me and Bobby McGee,1969,folk,"Busted flat in Baton Rouge, headin' for the trains Feelin' nearly faded as my jeans Bobby thumbed a diesel down just before it rained Took us all the way to New Orleans     I pulled my harpoon out of my dirty red bandana I was playin' sad while Bobby sang the blues With them windshield wipers slappin' time and Bobby clappin' hands We finally sang up every song that driver knew     Freedom's just another word for nothin' left to lose Nothin', don't mean nothin' honey if it ain't free, no no And feelin' good was easy, Lord, when Bobby sang the blues And feelin' good was good enough for me Good enough for me and my Bobby McGee     From the Kentucky coal mines to the California sun Bobby shared the secrets of my soul Standin' right beside me through everything I've done Every night she kept me from the cold     Then somewhere near Salinas, Lord, I let her slip away She was lookin' for that home, and I hope she finds it But, I'd trade all of my tomorrows for a single yesterday To be holdin' Bobby's body next to mine     Freedom's just another word for nothin' left to lose Nothin', don't mean nothin' honey if it ain't free, no no And feelin' good was easy, Lord, when Bobby sang the blues And feelin' good was good enough for me Good enough for me and my Bobby McGee    La-da-da-da-da, la-da-da-da-da, hey, hey, hey La-da-da-da-da, la-da-da-da-da, Bobby McGee La-da-da-da-da, la-da-da-da-da, hey, hey, hey La-da-da-da-da, la-da-da-da-da, Bobby McGee Freedom's just another word for nothin' left to lose Nothin', don't mean nothin' honey if it ain't free, no no And feelin' good was easy, Lord, when Bobby sang the blues And feelin' good was good enough for me Good enough for me and my Bobby McGee    La-da-da-da-da, la-da-da-da-da, hey, hey, hey La-da-da-da-da, la-da-da-da-da, Bobby McGee La-da-da-da-da, la-da-da-da-da, hey, hey, hey La-da-da-da-da, la-da-da-da-da, Bobby McGee"
Townes Van Zandt,Pancho and Lefty,1972,folk,"Pancho was a bandit boys His horse was fast as polished steel He wore his gun outside his pants For all the honest world to feel Pancho was a bandit boys Hot as the desert sun They never knew which way he'd go No one could understand him    Lefty he was a salesman On the road most of the year He made an honest living boys For his wife and kids so dear Lefty he was a salesman But when his day was done He'd meet his friends at the local bar And talk about his days on the run Pancho met his match you know On the deserts dusty ground They say he didn't even see the shot He went down without a sound Lefty heard the word you know He was at the local bar They say he didn't shed a tear that day He just stared off at the stars Pancho met his match you know On the deserts dusty ground They say he didn't even see the shot He went down without a sound Lefty heard the word you know He was at the local bar They say he didn't shed a tear that day He just stared off at the stars The poets tell the story How Pancho and Lefty fell Lefty's living in a cheap hotel And Pancho's lying in a ditch The poets tell the story How Pancho and Lefty fell Lefty's living in a cheap hotel And Pancho's lying in a ditch"
Emmylou Harris,Boulder to Birmingham,1975,folk,"I would rock my baby in the cradle of the deep I would rock my baby in the cradle of the deep But I have no cradle And no baby to keep And it's a hard way to find out That trouble is real In a town full of strangers You don't know how you feel Sweet memories whisper Softly in my ear Sweet memories whisper Softly in my ear But they don't bring him back No they don't bring him here And it's a hard way to find out That trouble is real In a town full of strangers You don't know how you feel I went down to the river And I tried to drown my soul I went down to the river And I tried to drown my soul But the water was too shallow And the banks too cold And it's a hard way to find out That trouble is real In a town full of strangers You don't know how you feel Oh, the wheel keeps on turning And the world keeps on burning And it's a hard way to learn That the fire still burns And it's a hard way to find out That trouble is real In a town full of strangers You don't know how you feel I would rock my baby in the cradle of the deep I would rock my baby in the cradle of the deep But I have no cradle And no baby to keep"
Gillian Welch,Everything Is Free,2001,folk,"I never minded working hard It's mostly what I do But half of what I made Got swept away from view That's the way that it is That's the way that it goes And everything is free Everything is free Now the music is over But the money's all gone Was it worth it? I don't know That's the way that it is That's the way that it goes And everything is free Everything is free"
Iron & Wine,Naked as We Came,2004,folk,"She says Wake up, it's no use pretending I'll keep stealing, breathing her Birds are leaving over autumn's ending One of us will die inside these arms Eyes wide open Naked as we came One will spread our Ashes 'round the yard"
Sufjan Stevens,"John Wayne Gacy, Jr.",2005,folk,"His father was a drinker and his mother cried in bed Folding John Wayne's t-shirts when the swing set hit his head The neighbors, they adored him For his humor and his conversation Look underneath the house there Find the few living things, rotting fast, in their sleep Oh the dead Twenty-seven people Even more, they were boys, with their cars, summer jobs Oh my God Ooh, are you one of them? He dressed up like a clown for them With his face paint white and red And on his best behavior In a dark room on the bed he kissed them all He'd kill ten thousand people With a slight of his hand, running far, running fast to the dead He took off all their clothes for them He put a cloth on their lips, quiet hands, quiet kiss on the mouth"
Fleet Foxes,White Winter Hymnal,2008,folk,"I was following the pack all swallowed in their coats with wool scarves wound 'round my throat, and when I fell down to my knees that's the time that I saw you cry, I was following the pack all swallowed in their coats with wool scarves wound 'round my throat, and when I fell down to my knees that's the time that I saw you cry, White winter hymnal I was following the pack all swallowed in their coats with wool scarves wound 'round my throat, and when I fell down to my knees that's the time that I saw you cry, I was following the pack all swallowed in their coats with wool scarves wound 'round my throat, and when I fell down to my knees that's the time that I saw you cry, I was following the pack all swallowed in their coats with wool scarves wound 'round my throat, and when I fell down to my knees that's the time that I saw you cry"
The Decemberists,The Crane Wife 3,2006,folk,"She came to me one summer evening, with flowers in her hair, we spoke of lovers past and future, and things we could not share, she asked me of my childhood, I told her of my youth, and we made our vows beneath the branches, and I gave to her a golden tooth. Oh, the crane wife, oh, the crane wife, what have we done? We've made our bed beneath the branches, and now the morning's come. She bore to me a daughter, with hair as black as coal, and eyes like the summer sky, and a beauty to behold, but in the night I heard her weeping, and when I asked her why, she said, I cannot stay here, husband, for I am bound to fly. Oh, the crane wife, oh, the crane wife, what have we done? We've made our bed beneath the branches, and now the morning's come. I begged her, I implored her, I told her of my love, but she turned her gaze toward the heavens, like a wounded dove, she said, I must return now, to the place from whence I came, and she spread her wings and flew away, calling out my name. Oh, the crane wife, oh, the crane wife, what have we done? We've made our bed beneath the branches, and now the morning's come."
Damien Rice,Cannonball,2002,folk,"There's still a little bit of your taste in my mouth Still a little bit of you laced with my doubt It's still a little hard to say what's going on There's still a little bit of your ghost, your witness Still a little bit of your face I haven't kissed You step a little closer each day That I can't say what's going on Stones taught me to fly Love, it taught me to lie Life, it taught me to die So it's not hard to fall When you float like a cannonball There's still a little bit of your song in my ear There's still a little bit of your words I long to hear You step a little closer to me So close that I can't see what's going on Stones taught me to fly Love, it taught me to lie Life taught me to die So it's not hard to fall When you float like a cannon Stones taught me to fly Love, it taught me to cry So come on courage, teach me to be shy 'Cause it's not hard to fall And I don't wanna scare her It's not hard to fall And I don't wanna lose It's not hard to grow When you know that you just don't know"
José González,Heartbeats,2003,folk,"One night to be confused, one night to spend with you, now everything's changed in our little world, let's go driving in the pouring rain, and kiss me as we do when we undress, keep the curtains drawn 'cause all I wanna see is you and me and the streets of Gothenburg, 'cause we've got beating hearts, one night of magic rush, feels like this is starting of something, I've got you this moment, I'll spend it slow, 'cause you're all I want to see, let's go driving in the pouring rain, and kiss me as we do when we undress, keep the curtains drawn 'cause all I wanna see is you and me and the streets of Gothenburg, 'cause we've got beating hearts, one night of magic rush, feels like this is starting of something, I've got you this moment, I'll spend it slow, 'cause you're all I want to see, 'cause we've got beating hearts, one night of magic rush, feels like this is starting of something, I've got you this moment, I'll spend it slow, 'cause you're all I want to see"
The Tallest Man on Earth,Love Is All,2010,folk,"When the winter comes rolling in, and the summer's long gone with the wind; I will follow you into the dark again, and I will never let you go. When the mountains are cold and gray, and the rivers all freeze on their way; I will follow you into the dark again, and I will never let you go. Love is all, love is all, it will creep up on you and cover you whole; love is all, love is all, it will creep up on you and cover you whole. So put your weary head to rest, and let me kiss away all you detest; I will follow you into the dark again, and I will never let you go. When the city sleeps in its bed, and the lonely stars hang overhead; I will follow you into the dark again, and I will never let you go. Love is all, love is all, it will creep up on you and cover you whole; love is all, love is all, it will creep up on you and cover you whole."
